사업장명,지번주소,도로명주소,업태구분명,구,경도,위도
육장갈비 자양 롯데캐슬점,서울특별시 광진구 자양동 236 ,"서울특별시 광진구 동일로10길 46, 3동 1층 301,302,303호 (자양동)",한식,광진구,127.063864438144,37.5374502894804
토모멘야,서울특별시 광진구 구의동 667 강변에스케이뷰 상가3동B103 호 ,"서울특별시 광진구 아차산로 431, 상가3동 지층 103호 (구의동, 강변에스케이뷰)",일식,광진구,127.0901792,37.5386534
꼬모꼬모(comocomo),서울특별시 광진구 군자동 477-11 1층 ,"서울특별시 광진구 능동로31길 8, 1층 (군자동)","외국음식전문점(인도,태국등)",광진구,127.0781548,37.55572007
삼촌분식,서울특별시 광진구 군자동 344-19,"서울특별시 광진구 군자로 87, 1층 (군자동)",기타,광진구,127.0709652,37.551016
시골통돼지(자양점),서울특별시 광진구 자양동 862 102동 1층102호,"서울특별시 광진구 자양로 55, 102동 1층 102호 (자양동, 자양하늘채 베르)",분식,광진구,127.084626172897,37.5328318624839
한강,서울특별시 광진구 광장동 185-5 1층 ,"서울특별시 광진구 아차산로78길 169, 1층 (광장동)",기타,광진구,127.1085791,37.54775066
백돈 구의점,서울특별시 광진구 자양동 225-7 1층 ,"서울특별시 광진구 아차산로41길 22, 1층 (자양동)",일식,광진구,127.0786758,37.53857346
드레 자양,서울특별시 광진구 자양동 513 ,"서울특별시 광진구 뚝섬로35길 23, 1층 (자양동)",한식,광진구,127.0705284,37.53592172
떡밀밀 건대점,서울특별시 광진구 화양동 12-37 1층 ,"서울특별시 광진구 능동로13길 40, 1층 (화양동)",분식,광진구,127.0703105,37.54372025
굿도우피자,서울특별시 광진구 중곡동 129-42 ,"서울특별시 광진구 용마산로3길 38, 1층 (중곡동)",경양식,광진구,127.0859686,37.55616287
이비푸드(EB Food) 우동연가,서울특별시 광진구 화양동 111-36 ,"서울특별시 광진구 능동로19길 27, 1층 (화양동)",분식,광진구,127.0722493,37.54712067
국가대표고깃집,서울특별시 광진구 구의동 230-1 1층 ,"서울특별시 광진구 광나루로 538, 송원빌딩 1층 (구의동)",한식,광진구,127.0892303,37.54459652
은술포차,서울특별시 송파구 방이동 172-21 늘푸른 인더바인 방이,"서울특별시 송파구 백제고분로50길 33, 101호 (방이동, 늘푸른 인더바인 방이)",정종/대포집/소주방,송파구,127.1183518,37.51334632
세미(SEMI),서울특별시 광진구 구의동 251-139 ,"서울특별시 광진구 아차산로51길 101, 1층 1호 (구의동)",기타,광진구,127.0852927,37.54151578
마마분식,서울특별시 광진구 화양동 24-44 1층 ,"서울특별시 광진구 동일로 150, 1층 (화양동)",분식,광진구,127.0662346,37.54562442
포르타 로싸(Porta rossa),서울특별시 광진구 중곡동 628-10 ,"서울특별시 광진구 면목로 63, 1층 (중곡동)",경양식,광진구,127.0775876,37.55955418
쌀롱김밥,서울특별시 광진구 중곡동 220-60 1층 ,"서울특별시 광진구 능동로51길 19, 1층 (중곡동)",김밥(도시락),광진구,127.0829236,37.56603864
파머스포케 건대점,서울특별시 광진구 화양동 94-7 디오티화양 1층 ,"서울특별시 광진구 능동로 167, 디오티화양 1층 (화양동)",기타,광진구,127.0730548,37.54577312
주당쌀롱,서울특별시 광진구 화양동 47-67 ,"서울특별시 광진구 동일로22길 59, 지하1층 (화양동)",기타,광진구,127.0676459,37.54171756
포시즌버거 건대점,서울특별시 광진구 화양동 113-1 광진 코지웰 1층 103호,"서울특별시 광진구 능동로19길 35, 1층 103호 (화양동, 광진 코지웰)",호프/통닭,광진구,127.0718409,37.54706756
뽁당볶음밥 건대점,서울특별시 광진구 자양동 773-9 1층 ,"서울특별시 광진구 아차산로 325, 1층 (자양동)",한식,광진구,127.0790258,37.53787403
교동찜닭 건대점,서울특별시 광진구 자양동 615-35 ,"서울특별시 광진구 뚝섬로49길 7, 1층 (자양동)",한식,광진구,127.0784999,37.53278959
예술피자 광진점,서울특별시 광진구 자양동 662-2 ,"서울특별시 광진구 뚝섬로 666, 1층 (자양동)",기타,광진구,127.0835719,37.53148782
아빠찜 구의역점,서울특별시 광진구 구의동 243-2 베스트트레드빌 ,"서울특별시 광진구 자양로18길 96, 베스트트레드빌 101호, 102호 (구의동)",한식,광진구,127.0887968,37.53851942
샐러리아,서울특별시 광진구 구의동 53-9 ,"서울특별시 광진구 천호대로 663, 1층 (구의동)",기타,광진구,127.0902246,37.55179232
카페모아,서울특별시 광진구 중곡동 30-1 국립정신건강센터 ,"서울특별시 광진구 용마산로 127, 국립정신건강센터 1층 (중곡동)",기타,광진구,127.0857921,37.56501274
시골집오리탕,서울특별시 광진구 구의동 667 강변에스케이뷰 ,"서울특별시 광진구 아차산로 431, 3동 1층 101호 (구의동, 강변에스케이뷰)",한식,광진구,127.0901792,37.5386534
뻠스킹(뻠.s king),서울특별시 광진구 구의동 241-7 ,"서울특별시 광진구 아차산로57길 33, 1층 (구의동)",한식,광진구,127.088415,37.54009565
라라면옥,서울특별시 광진구 구의동 252-120 ,"서울특별시 광진구 아차산로49길 28-2, 1층 101호 (구의동)",한식,광진구,127.0844736,37.53804298
간도,서울특별시 중구 황학동 732,"서울특별시 중구 퇴계로 427-5, 1층 (황학동)",일식,중구,127.0191786,37.56595131
리셋 커피 아일랜드,서울특별시 광진구 자양동 9-1 ,"서울특별시 광진구 동일로20길 68, 1층 (자양동)",기타,광진구,127.0671963,37.54029876
화이트브릭,서울특별시 광진구 중곡동 126-17 1층 ,"서울특별시 광진구 긴고랑로30길 20, 1층 (중곡동)",기타,광진구,127.0868328,37.55888356
별빛의잔,서울특별시 광진구 자양동 9-34 2층 ,"서울특별시 광진구 동일로18길 65, 2층 (자양동)",중국식,광진구,127.0664196,37.53909693
떡의작품 자양점,서울특별시 광진구 자양동 651-34 ,"서울특별시 광진구 뚝섬로56길 14-1, 1층 (자양동)",분식,광진구,127.0824487,37.53066244
청담커피,서울특별시 광진구 자양동 639-5 ,"서울특별시 광진구 뚝섬로52길 41, 1층 (자양동)",기타,광진구,127.078899,37.53015655
오칠칠오,서울특별시 광진구 자양동 57-75 ,"서울특별시 광진구 동일로2길 46, 1층 (자양동)",기타,광진구,127.0627217,37.53452641
동화각,서울특별시 광진구 광장동 332-5 ,"서울특별시 광진구 광장로 83, 1층 (광장동)",중국식,광진구,127.1063063,37.54805835
마장동 고기집 자양점,서울특별시 광진구 자양동 862 ,"서울특별시 광진구 자양로 55, 102동 1층 103, 104호 (자양동)",한식,광진구,127.084626172897,37.5328318624839
불맛난 제육,서울특별시 광진구 구의동 53-13 ,"서울특별시 광진구 자양로43길 41, 1층 (구의동)",한식,광진구,127.0902459,37.55237049
유미마라탕,서울특별시 광진구 중곡동 563-11,"서울특별시 광진구 답십리로 376-2, 1층 (중곡동)",한식,광진구,127.0822259,37.57137256
샹츠마라 구의 직영점,서울특별시 광진구 구의동 252-43,"서울특별시 광진구 자양로18길 5, 2층 (구의동)",중국식,광진구,127.0838402,37.53759568
비에이치씨(bhc) 건국대점,서울특별시 광진구 화양동 1 건국대학교 ,"서울특별시 광진구 능동로 120, 건국대학교 레이크홀 지하1층 (화양동)",호프/통닭,광진구,127.0737251,37.54254119
철뚝집,서울특별시 광진구 중곡동 192-25 ,"서울특별시 광진구 면목로 133-1, 1층 (중곡동)",한식,광진구,127.0808353,37.56542854
페프리,서울특별시 광진구 화양동 489 ,"서울특별시 광진구 광나루로 428, 1층 (화양동)",기타,광진구,127.0767867,37.54579895
팔일몽골리아(81Mongolia),서울특별시 광진구 중곡동 44-7 ,"서울특별시 광진구 긴고랑로22길 16, 1층 (중곡동)","외국음식전문점(인도,태국등)",광진구,127.0839901,37.56045848
카페이츠,서울특별시 광진구 구의동 242-74 ,"서울특별시 광진구 아차산로55길 44-1, 1층 (구의동)",기타,광진구,127.0865444,37.53940455
소낙,서울특별시 광진구 자양동 586-17 1층 ,"서울특별시 광진구 자양번영로1길 24, 1층 (자양동)",기타,광진구,127.0734223,37.53093592
수경수제만두,서울특별시 광진구 중곡동 150-77 나성빌딩 ,"서울특별시 광진구 용마산로 94, 나성빌딩 1층 (중곡동)",분식,광진구,127.0874436,37.56198233
피치엔버거,서울특별시 광진구 자양동 845-12 ,"서울특별시 광진구 뚝섬로23길 43, 1층 (자양동)",호프/통닭,광진구,127.0658232,37.53735942
빈앤빈즈 가맹사업본사,서울특별시 광진구 광장동 341-1 ,"서울특별시 광진구 아차산로 639, 2층 (광장동)","외국음식전문점(인도,태국등)",광진구,127.1080035,37.54977999
육해공,서울특별시 광진구 구의동 31-23 욱현빌딩 ,"서울특별시 광진구 자양로 312, 욱현빌딩 2층 (구의동)",한식,광진구,127.0934196,37.55310516
진구정,서울특별시 광진구 구의동 230-13 구의장미빌딩 ,"서울특별시 광진구 광나루로 536, 구의장미빌딩 1층 (구의동)",한식,광진구,127.0889342,37.54466787
