사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도,지도링크,시원한 음식,뜨끈한 국물,매콤한 음식,든든한 한끼,육류구이/고기파티,가볍게 간단히,술 한잔 하기 좋은날,디저트/카페,이국적인 음식,해산물/생선요리,패스트푸드,가족/단체 외식,건강/채식/특수식단,W_클리어,W_구름,W_비,W_이슬비,W_뇌우,W_눈,W_분위기
사랑의불고기,서울특별시 종로구 사직동 9 광화문 스페이스본,"서울특별시 종로구 사직로8길 4, 202동 102B호 (사직동, 광화문 스페이스본)",한식,종로구,126.9688809,37.57441725,사랑의 고기 | Meat of love,서울특별시 종로구 사직동 사직로8길 4,4.4,고기 요리 전문점,102,37.5743822,126.9688505,https://www.google.com/maps/place/%25EC%2582%25AC%25EB%259E%2591%25EC%259D%2598+%25EA%25B3%25A0%25EA%25B8%25B0+%257C+Meat+of+love/data=%214m10%211m2%212m1%211z7IKs656R7J2Y67aI6rOg6riwIOyiheuhnOq1rA%213m6%211s0x357ca3b1d3f5c465:0xc74ef9c99bc133fb%218m2%213d37.5743822%214d126.9688505%2115sChzsgqzrnpHsnZjrtojqs6DquLAg7KKF66Gc6rWsWiAiHuyCrOuekSDsnZgg67aI6rOg6riwIOyiheuhnOq1rJIBD21lYXRfcmVzdGF1cmFudKoBRxABMh8QASIbB9AAGBiF8MiK7no0_yDuUD24fYW4tWKWgJeEMiIQAiIe7IKs656RIOydmCDrtojqs6DquLAg7KKF66Gc6rWs4AEA%2116s%252Fg%252F11b7vy1jpg?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
진닭강정 익선점,서울특별시 종로구 익선동 166-47,"서울특별시 종로구 수표로28길 21-9, 1층 (익선동)",한식,종로구,126.989712,37.57329616,진닭강정 익선점,서울특별시 종로구 수표로28길 21-9 1층,4.8,닭요리전문점,29,37.5732815,126.9896877,https://www.google.com/maps/place/%25EC%25A7%2584%25EB%258B%25AD%25EA%25B0%2595%25EC%25A0%2595+%25EC%259D%25B5%25EC%2584%25A0%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357ca3864fa0e2ed:0x609bdc1c5d90bfda%218m2%213d37.5732815%214d126.9896877%2116s%252Fg%252F11x1b87h3w?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
앨리스,서울특별시 종로구 재동 105-1,"서울특별시 종로구 율곡로 59-1, 1, 2층 (재동)",기타,종로구,126.9858562,37.57687446,엘리스카페 안국역본점,서울특별시 종로구 재동,4.8,추로스 전문점,13,37.5768773,126.9858823,https://www.google.com/maps/place/%25EC%2597%2598%25EB%25A6%25AC%25EC%258A%25A4%25EC%25B9%25B4%25ED%258E%2598+%25EC%2595%2588%25EA%25B5%25AD%25EC%2597%25AD%25EB%25B3%25B8%25EC%25A0%2590/data=%214m10%211m2%212m1%211z7JWo66as7IqkIOyiheuhnOq1rA%213m6%211s0x357ca300124861ff:0xcdb59d8ebb8f01d%218m2%213d37.5768773%214d126.9858823%2115sChPslajrpqzsiqQg7KKF66Gc6rWsWhUiE-yVqOumrOyKpCDsooXroZzqtaySAQljaHVycmVyaWGqAUoQASoNIgnslajrpqzsiqQoCTIeEAEiGr1zIk1PqHVgDJHuNGoBD0rnIAgoF0l7KiwsMhcQAiIT7JWo66as7IqkIOyiheuhnOq1rOABAA%2116s%252Fg%252F11vrsnzs93?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
카멜커피 15호점,서울특별시 종로구 통의동 7-25,"서울특별시 종로구 효자로 31, 1,2층 (통의동)",기타,종로구,126.9737126,37.57879069,카멜커피 서촌점,서울특별시 종로구 효자로 31,4.4,카페,21,37.5787903,126.9737128,https://www.google.com/maps/place/%25EC%25B9%25B4%25EB%25A9%259C%25EC%25BB%25A4%25ED%2594%25BC+%25EC%2584%259C%25EC%25B4%258C%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357ca30032ffee33:0x154bd23498486ae8%218m2%213d37.5787903%214d126.9737128%2116s%252Fg%252F11x35s3t6h?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
공평동 꼼장어,서울특별시 종로구 관철동 19-20 삼보빌딩,"서울특별시 종로구 삼일대로17길 52, 삼보빌딩 2층 (관철동)",기타,종로구,126.9845874,37.5693072,공평동꼼장어 1호점,서울특별시 종로구 관철동 19-20,3.9,한식 고기구이 레스토랑,60,37.5693068,126.9845875,https://www.google.com/maps/place/%25EA%25B3%25B5%25ED%258F%2589%25EB%258F%2599%25EA%25BC%25BC%25EC%259E%25A5%25EC%2596%25B4+1%25ED%2598%25B8%25EC%25A0%2590/data=%214m10%211m2%212m1%211z6rO17Y-J64-ZIOq8vOyepeyWtCDsooXroZzqtaw%213m6%211s0x357ca2e8cc2843df:0x3d93e53c1f88b197%218m2%213d37.5693068%214d126.9845875%2115sCh3qs7Xtj4nrj5kg6ry87J6l7Ja0IOyiheuhnOq1rFofIh3qs7Xtj4nrj5kg6ry87J6l7Ja0IOyiheuhnOq1rJIBGmtvcmVhbl9iYXJiZWN1ZV9yZXN0YXVyYW50qgFGEAEyHxABIhsLoMjWENXKa9cV4FTsEuYrVgZrMpJZ5e3iVocyIRACIh3qs7Xtj4nrj5kg6ry87J6l7Ja0IOyiheuhnOq1rOABAA%2116s%252Fg%252F11bytsrfmy?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
인디고 젤라또(Indigo Gelato),서울특별시 종로구 명륜4가 176-2,"서울특별시 종로구 대명길 41, 1층 (명륜4가)",기타,종로구,126.9993491,37.58281222,인디고젤라또,서울특별시 종로구 대명길 41,5,아이스크림 가게,1,37.5828118,126.9993493,https://www.google.com/maps/place/%25EC%259D%25B8%25EB%2594%2594%25EA%25B3%25A0%25EC%25A0%25A4%25EB%259D%25BC%25EB%2598%2590/data=%213m1%214b1%214m6%213m5%211s0x357ca3003f51bcd1:0xc5a8c0c14d6f4103%218m2%213d37.5828118%214d126.9993493%2116s%252Fg%252F11x66cdvvk?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
디오엠,서울특별시 종로구 명륜2가 195-11,"서울특별시 종로구 성균관로 4-8, 1층 (명륜2가)",경양식,종로구,126.9987263,37.583601,Shisha dom,서울특별시 종로구 성균관로 4-8,5,술집,3,37.5836006,126.9987265,https://www.google.com/maps/place/Shisha+dom/data=%214m10%211m2%212m1%211z65SU7Jik7JegIOyiheuhnOq1rA%213m6%211s0x357ca3001ee7fd75:0xdeeda2904092fb87%218m2%213d37.5836006%214d126.9987265%2115sChPrlJTsmKTsl6Ag7KKF66Gc6rWsWhYiFOuUlOyYpCDsl6Ag7KKF66Gc6rWskgEDYmFyqgFNEAEqDiIK65SU7JikIOyXoCgJMh8QASIbHfVfDZINr0uwC6v95SJA5PmreZPz3qfPlz1RMhgQAiIU65SU7JikIOyXoCDsooXroZzqtazgAQA%2116s%252Fg%252F11lcr2jd92?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
노말키친 혜화,서울특별시 종로구 명륜2가 81-1,"서울특별시 종로구 성균관로6길 26, 1층 (명륜2가)",경양식,종로구,126.9975094,37.58556028,노말키친,서울특별시 종로구 성균관로6길 26,4,인도 레스토랑,2,37.5855305,126.9974885,https://www.google.com/maps/place/%25EB%2585%25B8%25EB%25A7%2590%25ED%2582%25A4%25EC%25B9%259C/data=%214m10%211m2%212m1%211z64W466eQ7YKk7LmcIO2YnO2ZlCDsooXroZzqtaw%213m6%211s0x357ca320174bedd3:0xb11347ed6008966b%218m2%213d37.5855305%214d126.9974885%2115sCh3rhbjrp5DtgqTsuZwg7Zic7ZmUIOyiheuhnOq1rFogIh7rhbjrp5Ag7YKk7LmcIO2YnO2ZlCDsooXroZzqtaySARFpbmRpYW5fcmVzdGF1cmFudKoBYRABKhgiFOuFuOunkCDtgqTsuZwg7Zic7ZmUKAkyHxABIhvAFrHBgV0y6dKl22rFjOxMuoCOCZ3q6zOw3lQyIhACIh7rhbjrp5Ag7YKk7LmcIO2YnO2ZlCDsooXroZzqtazgAQA%2116s%252Fg%252F11t6zgyl5z?entry=ttu&g_ep=EgoyMDI1MDcxNS4xIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
본도시락 종각점,서울특별시 종로구 관철동 155 종로1번가오피스텔,"서울특별시 종로구 청계천로 67, 종로1번가오피스텔 제2층 제207호 (관철동)",한식,종로구,126.9851064,37.56886761,본도시락 종각점,서울특별시 종로구 청계천로 67,2.3,도시락 전문점,3,37.5688893,126.9851933,https://www.google.com/maps/place/%25EB%25B3%25B8%25EB%258F%2584%25EC%258B%259C%25EB%259D%25BD+%25EC%25A2%2585%25EA%25B0%2581%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357ca2e8cc7d8dd3:0x428831e64c041291%218m2%213d37.5688893%214d126.9851933%2116s%252Fg%252F1tk9nq02?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
서기맥주,서울특별시 종로구 숭인동 1263 수도회화전문확원,"서울특별시 종로구 종로 409, 수도회화전문확원 1층 (숭인동)",호프/통닭,종로구,127.0224173,37.57553568,서기맥주,서울특별시 종로구 숭인동 종로 409,4.1,호프/생맥주집,113,37.5754634,127.0224539,https://www.google.com/maps/place/%25EC%2584%259C%25EA%25B8%25B0%25EB%25A7%25A5%25EC%25A3%25BC/data=%213m1%214b1%214m6%213m5%211s0x357ca37b4214c717:0x7fcf9e6481bdeb0b%218m2%213d37.5754634%214d127.0224539%2116s%252Fg%252F11fjyvv5sw?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
