사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도,지도링크,시원한 음식,뜨끈한 국물,매콤한 음식,든든한 한끼,육류구이/고기파티,가볍게 간단히,술 한잔 하기 좋은날,디저트/카페,이국적인 음식,해산물/생선요리,패스트푸드,가족/단체 외식,건강/채식/특수식단,W_클리어,W_구름,W_비,W_이슬비,W_뇌우,W_눈,W_분위기
궁전식당,서울특별시 영등포구 당산동1가 4-25,"서울특별시 영등포구 영신로 139, 1층 (당산동1가)",한식,영등포구,126.9006687,37.52022546,궁전 백반 삼겹살,서울특별시,4.7,한식,9,37.5202838,126.90087,https://www.google.com/maps/place/%25EA%25B6%2581%25EC%25A0%2584+%25EB%25B0%25B1%25EB%25B0%2598+%25EC%2582%25BC%25EA%25B2%25B9%25EC%2582%25B4/data=%214m10%211m2%212m1%211z6raB7KCE7Iud64u5IOyYgeuTse2PrOq1rA%213m6%211s0x357c9efaae7f66a1:0x855bfcac6c18acf4%218m2%213d37.5202838%214d126.90087%2115sChnqtoHsoITsi53ri7kg7JiB65Ox7Y-s6rWsWhwiGuq2geyghCDsi53ri7kg7JiB65Ox7Y-s6rWskgEKcmVzdGF1cmFudKoBVhABKhEiDeq2geyghCDsi53ri7koCTIfEAEiG4F9w1NXh--kXRFRI2F7LbJbvh9__9MBgB56MzIeEAIiGuq2geyghCDsi53ri7kg7JiB65Ox7Y-s6rWs4AEA%2116s%252Fg%252F11h5kmllps?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
금별맥주 신길삼거리점,서울특별시 영등포구 신길동 99-7,"서울특별시 영등포구 영등포로 369, 1층 (신길동)",한식,영등포구,126.9193817,37.51432338,펀비어킹 영등포 신길삼거리점,서울특별시 영등포구 영등포로 367 1층 101호,4.5,술집,4,37.5144447,126.9192718,https://www.google.com/maps/place/%25ED%258E%2580%25EB%25B9%2584%25EC%2596%25B4%25ED%2582%25B9+%25EC%2598%2581%25EB%2593%25B1%25ED%258F%25AC+%25EC%258B%25A0%25EA%25B8%25B8%25EC%2582%25BC%25EA%25B1%25B0%25EB%25A6%25AC%25EC%25A0%2590/data=%214m11%211m3%212m2%211z6riI67OE66el7KO8IOyLoOq4uOyCvOqxsOumrOygkCDsmIHrk7Htj6zqtaw%216e5%213m6%211s0x357c9f2bf453559d:0x110187332a905884%218m2%213d37.5144447%214d126.9192718%2115sCizquIjrs4Trp6Xso7wg7Iug6ri47IK86rGw66as7KCQIOyYgeuTse2PrOq1rFoxIi_quIjrs4Qg66el7KO8IOyLoOq4uCDsgrzqsbDrpqwg7KCQIOyYgeuTse2PrOq1rJIBA2JhcqoBdQoIL20vMDE1OTkQASoRIg3quIjrs4Qg66el7KO8KAkyHxABIhuQuwI9VhdQEsBYB3iG6KqINUgRPRHO2oJfzioyMxACIi_quIjrs4Qg66el7KO8IOyLoOq4uCDsgrzqsbDrpqwg7KCQIOyYgeuTse2PrOq1rOABAA%2116s%252Fg%252F11kppr6pf0?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
우마담 문래,서울특별시 영등포구 문래동4가 32-48,"서울특별시 영등포구 도림로141라길 2-2, 1층 (문래동4가)",한식,영등포구,126.8915867,37.51395741,우마담 문래,서울특별시 영등포구 문래동4가 32-48,4,한국식 소고기 전문 음식점,1,37.513957,126.8915869,https://www.google.com/maps/place/%25EC%259A%25B0%25EB%25A7%2588%25EB%258B%25B4+%25EB%25AC%25B8%25EB%259E%2598/data=%213m1%214b1%214m6%213m5%211s0x357c9f70e1b15ef1:0x42bd29305c7ebaec%218m2%213d37.513957%214d126.8915869%2116s%252Fg%252F11wvlt_cw1?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
안골순대,서울특별시 영등포구 당산동3가 1-15,"서울특별시 영등포구 양산로 159, 1층 일부호 (당산동3가)",한식,영등포구,126.900728,37.52349919,안골순대,서울특별시 영등포구 양산로 159,5,순대 전문점,3,37.5234665,126.9007308,https://www.google.com/maps/place/%25EC%2595%2588%25EA%25B3%25A8%25EC%2588%259C%25EB%258C%2580/data=%213m1%214b1%214m6%213m5%211s0x357c9f5d516a5a23:0xdbed7150d58f5e68%218m2%213d37.5234665%214d126.9007308%2116s%252Fg%252F11l_19q60q?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
이장네정식,서울특별시 영등포구 영등포동 618-257,"서울특별시 영등포구 영신로19길 32-2, 2층 (영등포동)",한식,영등포구,126.9045397,37.51356649,이장네숯불갈비,서울특별시 영등포구 영등포동 618-257 번지 지상 1층,4.7,한식,38,37.5134972,126.904502,https://www.google.com/maps/place/%25EC%259D%25B4%25EC%259E%25A5%25EB%2584%25A4%25EC%2588%25AF%25EB%25B6%2588%25EA%25B0%2588%25EB%25B9%2584/data=%214m10%211m2%212m1%211z7J207J6l64Sk7KCV7IudIOyYgeuTse2PrOq1rA%213m6%211s0x357c9ef940772e61:0x18672154f99239c2%218m2%213d37.5134972%214d126.904502%2115sChzsnbTsnqXrhKTsoJXsi50g7JiB65Ox7Y-s6rWsWiAiHuydtOyepSDrhKQg7KCV7IudIOyYgeuTse2PrOq1rJIBCnJlc3RhdXJhbnSqAV4QASoVIhHsnbTsnqUg64SkIOygleyLnSgJMh8QASIbd52pMHHG14W92kUpB4QnKGJjpQ3YPVFypxKbMiIQAiIe7J207J6lIOuEpCDsoJXsi50g7JiB65Ox7Y-s6rWs4AEA%2116s%252Fg%252F11grv9zxtw?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
바우네 나주곰탕 선유도점,서울특별시 영등포구 양평동6가 4-2,"서울특별시 영등포구 양평로30길 14, 105호 (양평동6가)",한식,영등포구,126.8893699,37.54121883,바우네나주곰탕선유도점,서울특별시 영등포구 양평동6가 4-2번지,4.2,한식,10,37.5410898,126.8893768,https://www.google.com/maps/place/%25EB%25B0%2594%25EC%259A%25B0%25EB%2584%25A4%25EB%2582%2598%25EC%25A3%25BC%25EA%25B3%25B0%25ED%2583%2595%25EC%2584%25A0%25EC%259C%25A0%25EB%258F%2584%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357c9eb87ef036e5:0x4a075920f11f6733%218m2%213d37.5410898%214d126.8893768%2116s%252Fg%252F11j8dvt072?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
지수사,서울특별시 영등포구 문래동3가 16-60,"서울특별시 영등포구 영신로 111-11, 1층 (문래동3가)",일식,영등포구,126.9013362,37.51765454,지수사,서울특별시 영등포구 영신로 111-11 1 층,4.5,일본 음식점,2,37.5176541,126.9013364,https://www.google.com/maps/place/%25EC%25A7%2580%25EC%2588%2598%25EC%2582%25AC/data=%214m10%211m2%212m1%211z7KeA7IiY7IKsIOyYgeuTse2PrOq1rA%213m6%211s0x357c9f001c6bb8d5:0x5cbd31bb4f10b0c4%218m2%213d37.5176541%214d126.9013364%2115sChbsp4DsiJjsgqwg7JiB65Ox7Y-s6rWsWhkiF-yngOyImCDsgqwg7JiB65Ox7Y-s6rWskgETamFwYW5lc2VfcmVzdGF1cmFudKoBUBABKg4iCuyngOyImCDsgqwoCTIfEAEiG9Rw75ntC0GWpc6y57Tdcd72N0TOORNiQUzpsTIbEAIiF-yngOyImCDsgqwg7JiB65Ox7Y-s6rWs4AEA%2116s%252Fg%252F11x80yvjpw?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
스시이안앤 홈플러스영등포점,서울특별시 영등포구 문래동3가 55-3 홈플러스,"서울특별시 영등포구 당산로 42, 홈플러스 2층 X6, YD호 (문래동3가)",일식,영등포구,126.8959241,37.51822701,스시이안앤 홈플러스 영등포,서울특별시 영등포구 문래동3가 55-3,4.3,일본 음식점,4,37.5181464,126.8960746,https://www.google.com/maps/place/%25EC%258A%25A4%25EC%258B%259C%25EC%259D%25B4%25EC%2595%2588%25EC%2595%25A4+%25ED%2599%2588%25ED%2594%258C%25EB%259F%25AC%25EC%258A%25A4+%25EC%2598%2581%25EB%2593%25B1%25ED%258F%25AC/data=%213m1%214b1%214m6%213m5%211s0x357c9f006e398799:0x58bb74d22e0b8be5%218m2%213d37.5181464%214d126.8960746%2116s%252Fg%252F11ybz_vjk2?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
육전국밥 영등포시장역점,서울특별시 영등포구 영등포동5가 32 신한빌딩,"서울특별시 영등포구 영중로 56, 신한빌딩 1층 (영등포동5가)",한식,영등포구,126.9054054,37.52110114,육전국밥 영등포시장역점,서울특별시 영등포구 영중로 56 1 층,4.5,한식당,4,37.5211125,126.9051468,https://www.google.com/maps/place/%25EC%259C%25A1%25EC%25A0%2584%25EA%25B5%25AD%25EB%25B0%25A5+%25EC%2598%2581%25EB%2593%25B1%25ED%258F%25AC%25EC%258B%259C%25EC%259E%25A5%25EC%2597%25AD%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357c9f002d671ad3:0xec22c8f62c1cd1fc%218m2%213d37.5211125%214d126.9051468%2116s%252Fg%252F11x5c_m6zj?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
리버브루,서울특별시 영등포구 여의도동 21-3,"서울특별시 영등포구 여의나루로 117, 1층 101,102호 (여의도동)",기타,영등포구,126.9310905,37.52624086,리버브루,서울특별시 영등포구 여의나루로 113 106 호,4.5,커피숍/커피 전문점,2,37.5260603,126.9310104,https://www.google.com/maps/place/%25EB%25A6%25AC%25EB%25B2%2584%25EB%25B8%258C%25EB%25A3%25A8/data=%213m1%214b1%214m6%213m5%211s0x357c9f0051b28d67:0x699b5231bec75908%218m2%213d37.5260603%214d126.9310104%2116s%252Fg%252F11wppkd_c6?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
