사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도,지도링크,시원한 음식,뜨끈한 국물,매콤한 음식,든든한 한끼,육류구이/고기파티,가볍게 간단히,술 한잔 하기 좋은날,디저트/카페,이국적인 음식,해산물/생선요리,패스트푸드,가족/단체 외식,건강/채식/특수식단,W_클리어,W_구름,W_비,W_이슬비,W_뇌우,W_눈,W_분위기
용돈,서울특별시 영등포구 문래동3가 58-35,"서울특별시 영등포구 도림로 434-9, 1층 (문래동3가)",기타,영등포구,126.8950196,37.51481291,용돈,서울특별시 영등포구 문래동3가 58-35 1층 용돈,5,한식 고기구이 레스토랑,1,37.5148125,126.8950197,https://www.google.com/maps/place/%25EC%259A%25A9%25EB%258F%2588/data=%213m1%214b1%214m6%213m5%211s0x357c9f3cc7763911:0xf910b5f9af0a1d63%218m2%213d37.5148125%214d126.8950197%2116s%252Fg%252F11m5zd1g39?entry=ttu&g_ep=EgoyMDI1MDcxNS4xIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
킵댓,서울특별시 영등포구 여의도동 23-8 여의도파이낸스타워,"서울특별시 영등포구 국제금융로2길 32, 여의도파이낸스타워 1층 101호 (여의도동)",기타,영등포구,126.9241795,37.52381883,킵댓 여의도점,서울특별시 영등포구 국제금융로2길 32,5,카페,1,37.5238184,126.9241796,https://www.google.com/maps/place/%25ED%2582%25B5%25EB%258C%2593+%25EC%2597%25AC%25EC%259D%2598%25EB%258F%2584%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357c9f000425abad:0x2dee68c1d70313e0%218m2%213d37.5238184%214d126.9241796%2116s%252Fg%252F11x1yq0xnh?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
두툼해 도곡,서울특별시 강남구 도곡동 467-12 군인공제회관,"서울특별시 강남구 남부순환로 2806, 군인공제회관 지하1층 (도곡동)",일식,강남구,127.0528041,37.48928307,두툼해 도곡,서울특별시 강남구 남부순환로 2806 지하 1층,5,회 전문점,1,37.4892827,127.0528042,https://www.google.com/maps/place/%25EB%2591%2590%25ED%2588%25BC%25ED%2595%25B4+%25EB%258F%2584%25EA%25B3%25A1/data=%213m1%214b1%214m6%213m5%211s0x357ca7001045ff73:0x4050a47530583b86%218m2%213d37.4892827%214d127.0528042%2116s%252Fg%252F11xlbqxl3g?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
진상천,서울특별시 동작구 흑석동 184-19,"서울특별시 동작구 흑석로 101-7, 2층 (흑석동)",한식,동작구,126.9607544,37.50804918,진상천,서울특별시 동작구 흑석동 184-19,4,중국 음식점,57,37.5080055,126.960744,https://www.google.com/maps/place/%25EC%25A7%2584%25EC%2583%2581%25EC%25B2%259C/data=%213m1%214b1%214m6%213m5%211s0x357ca1bc8b86c8e1:0x15329e9db6430c75%218m2%213d37.5080055%214d126.960744%2116s%252Fg%252F11h8k438x_?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
메리지아레,서울특별시 동작구 노량진동 39-27,"서울특별시 동작구 노량진로8길 43, 2층 (노량진동)",기타,동작구,126.9378206,37.51249909,메리지아레,서울특별시 동작구 노량진로8길 43 2,5,이탈리아 음식점,1,37.5124987,126.9378208,https://www.google.com/maps/place/%25EB%25A9%2594%25EB%25A6%25AC%25EC%25A7%2580%25EC%2595%2584%25EB%25A0%2588/data=%213m1%214b1%214m6%213m5%211s0x357c9f8b6339ae19:0x30f57c139773b8f2%218m2%213d37.5124987%214d126.9378208%2116s%252Fg%252F11ybt9lz1b?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
육전국밥 노량진역점,서울특별시 동작구 노량진동 114-5,"서울특별시 동작구 노량진로 162, 1층 (노량진동)",한식,동작구,126.9439221,37.51338652,육전국밥 노량진역점,서울특별시 동작구 노량진로 162,4.7,한식당,6,37.5133861,126.9439222,https://www.google.com/maps/place/%25EC%259C%25A1%25EC%25A0%2584%25EA%25B5%25AD%25EB%25B0%25A5+%25EB%2585%25B8%25EB%259F%2589%25EC%25A7%2584%25EC%2597%25AD%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357c9f003a3b2bc1:0x6a6b40d016ce30a6%218m2%213d37.5133861%214d126.9439222%2116s%252Fg%252F11m5ps9pny?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
꾸이구이,서울특별시 동작구 사당동 1007-3 엘리지움,"서울특별시 동작구 동작대로23길 7, 엘리지움 1층 102, 103, 104호 (사당동)",한식,동작구,126.9813124,37.48420012,꾸이구이 이수역점,서울특별시 동작구 동작대로23길 7,5,한식당,1,37.4841997,126.9813126,https://www.google.com/maps/place/%25EA%25BE%25B8%25EC%259D%25B4%25EA%25B5%25AC%25EC%259D%25B4+%25EC%259D%25B4%25EC%2588%2598%25EC%2597%25AD%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357ca10004c1ecbb:0x47ef1243bb82519c%218m2%213d37.4841997%214d126.9813126%2116s%252Fg%252F11x6hvxpjn?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
본돈가,서울특별시 동작구 상도1동 625,"서울특별시 동작구 양녕로 273, 1층, 2층 (상도1동)",한식,동작구,126.9491086,37.50422763,본돈가,서울특별시 동작구 상도1동 625 본돈가,5,삼겹살 전문점,2,37.5042272,126.9491087,https://www.google.com/maps/place/%25EB%25B3%25B8%25EB%258F%2588%25EA%25B0%2580/data=%213m1%214b1%214m6%213m5%211s0x357c9f913f54bea1:0x4b106fdf594da579%218m2%213d37.5042272%214d126.9491087%2116s%252Fg%252F11wwv24x6w?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
이소 다과점,서울특별시 동작구 상도동 502-8 서정힐탑,"서울특별시 동작구 사당로 12, 2층 202호 (상도동, 서정힐탑)",기타,동작구,126.9556536,37.49528388,이소 다과점,서울특별시 동작구 사당로 12 이소다과점 202호,4.1,카페,7,37.4952835,126.9556537,https://www.google.com/maps/place/%25EC%259D%25B4%25EC%2586%258C+%25EB%258B%25A4%25EA%25B3%25BC%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357b618ac61dadd3:0xe218b981db2f4aca%218m2%213d37.4952835%214d126.9556537%2116s%252Fg%252F11k9nz0p8p?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
두끼 이수역점,서울특별시 동작구 사당동 145-11,"서울특별시 동작구 동작대로27가길 36, 2층 (사당동)",분식,동작구,126.9809821,37.48601717,두끼 이수역점,서울특별시 동작구 동작대로27가길 36 2 층,4,한식당,4,37.4860168,126.9809822,https://www.google.com/maps/place/%25EB%2591%2590%25EB%2581%25BC+%25EC%259D%25B4%25EC%2588%2598%25EC%2597%25AD%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357ca10070aa8769:0xec5747a314b57ce%218m2%213d37.4860168%214d126.9809822%2116s%252Fg%252F11wvrrrtlp?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
윈터,서울특별시 동작구 사당동 1041-24,"서울특별시 동작구 사당로30길 158, 3층 (사당동)",기타,동작구,126.9805944,37.47786202,Winter bar,서울특별시 동작구 사당동 1042-21,4.7,바 & 그릴,3,37.477872,126.980724,https://www.google.com/maps/place/Winter+bar/data=%214m10%211m2%212m1%211z7JyI7YSwIOuPmeyekeq1rA%213m6%211s0x357ca10036102d61:0x82912577160d5b3d%218m2%213d37.477872%214d126.980724%2115sChDsnIjthLAg64-Z7J6R6rWsWhIiEOyciO2EsCDrj5nsnpHqtaySAQ1iYXJfYW5kX2dyaWxsqgFFEAEqCiIG7JyI7YSwKAkyHxABIhutH2kCMeNdJv5XyMxm1_5j8D4leF4tEaWZ-8cyFBACIhDsnIjthLAg64-Z7J6R6rWs4AEA%2116s%252Fg%252F11ybhvkxjq?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
노량진101,서울특별시 동작구 노량진동 334 노량진 수산물 도매시장,"서울특별시 동작구 노들로 674, 노량진 수산물 도매시장 2층 1호, 2호 (노량진동)",일식,동작구,126.9377883,37.51474239,노량진101,"서울특별시 동작구 노들로 674 2층 1호, 2호",3.8,해산물 요리 전문식당,18,37.514742,126.9377884,https://www.google.com/maps/place/%25EB%2585%25B8%25EB%259F%2589%25EC%25A7%2584101/data=%213m1%214b1%214m6%213m5%211s0x357c9f0056ac4c99:0xd8d0430d32bc9604%218m2%213d37.514742%214d126.9377884%2116s%252Fg%252F11ly_v1qz8?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
콩두주백,서울특별시 동작구 사당동 1049-16,"서울특별시 동작구 남부순환로 2029, 1층 (사당동)",한식,동작구,126.9741703,37.47648077,콩두주백 사당직영점,서울특별시 동작구 남부순환로 2029 1층,4,한식당,2,37.4764804,126.9741705,https://www.google.com/maps/place/%25EC%25BD%25A9%25EB%2591%2590%25EC%25A3%25BC%25EB%25B0%25B1+%25EC%2582%25AC%25EB%258B%25B9%25EC%25A7%2581%25EC%2598%2581%25EC%25A0%2590/data=%213m1%214b1%214m6%213m5%211s0x357ca10010561bf3:0x8bfac7465ab3e245%218m2%213d37.4764804%214d126.9741705%2116s%252Fg%252F11x6l4vggj?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
미스터리,서울특별시 동작구 사당동 1046-32,"서울특별시 동작구 남부순환로269길 21, 2층 (사당동)",일식,동작구,126.9777699,37.47753397,미스터리(Mr.Lee),서울특별시 동작구 남부순환로269길 21 Mr.Lee 2층,4.4,회 전문점,20,37.4775536,126.9777899,https://www.google.com/maps/place/%25EB%25AF%25B8%25EC%258A%25A4%25ED%2584%25B0%25EB%25A6%25AC%28Mr.Lee%29/data=%214m10%211m2%212m1%211z66-47Iqk7YSw66asIOuPmeyekeq1rA%213m6%211s0x357ca12c0c7f16d1:0xf65ada89ae64939b%218m2%213d37.4775536%214d126.9777899%2115sChbrr7jsiqTthLDrpqwg64-Z7J6R6rWsWhgiFuuvuOyKpO2EsOumrCDrj5nsnpHqtaySARJzYXNoaW1pX3Jlc3RhdXJhbnSqAVEQASoQIgzrr7jsiqTthLDrpqwoCTIfEAEiG9PUUK6q7fFDbS_LBJbkDsyFqie-enIlbMfPETIaEAIiFuuvuOyKpO2EsOumrCDrj5nsnpHqtazgAQA%2116s%252Fg%252F11q2ksjp5x?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
삼정 한우곱창,서울특별시 동작구 노량진동 265-1,"서울특별시 동작구 노량진로6길 6-3, 1층 (노량진동)",기타,동작구,126.935768,37.51280539,삼정한우곱창,서울특별시 동작구 노량진로6길 6-3,4.5,한식당,2,37.512805,126.9357682,https://www.google.com/maps/place/%25EC%2582%25BC%25EC%25A0%2595%25ED%2595%259C%25EC%259A%25B0%25EA%25B3%25B1%25EC%25B0%25BD/data=%213m1%214b1%214m6%213m5%211s0x357c9f0014a0960d:0xa02dc4ca8d6fd62%218m2%213d37.512805%214d126.9357682%2116s%252Fg%252F11y49w4nt5?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
딥다이브,서울특별시 동작구 사당동 147-64,"서울특별시 동작구 사당로 302, 1층 (사당동)",기타,동작구,126.9811639,37.48484586,딥다이브,서울특별시 동작구 사당제1동 147 64번지 1층,4.7,커피숍/커피 전문점,3,37.4848507,126.9811388,https://www.google.com/maps/place/%25EB%2594%25A5%25EB%258B%25A4%25EC%259D%25B4%25EB%25B8%258C/data=%213m1%214b1%214m6%213m5%211s0x357ca1ce1e537c4f:0x4247255c195356c1%218m2%213d37.4848507%214d126.9811388%2116s%252Fg%252F11vj7qntqq?entry=ttu&g_ep=EgoyMDI1MDcxMy4wIKXMDSoASAFQAw%253D%253D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
