사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도
돌초밥,서울특별시 금천구 독산동 297-11,"서울특별시 금천구 가산로 71, 1층 (독산동)",일식,금천구,126.8952916,37.47260459,돌초밥,가산로 71 KR 서울특별시 금천구 독산동 297-11,5.0,스시/초밥집,1,37.4726042,126.8952918
월매네남원추어탕,서울특별시 중구 서소문동 51-2번지 ,서울특별시 중구 서소문로 109-8 (서소문동),한식,중구,126.9732829,37.56332531,월매네남원추어탕,서울특별시 중구 서소문로 109-8,4.3,추어탕 전문점,104,37.5632851,126.9732756
남경,서울특별시 중구 남대문로4가 3-4 ,서울 중구 남대문시장길 29,중국식,중구,126.9776323,37.56044086,남경,서울특별시 중구 남대문시장길 31-5,3.3,음식점,9,37.5604194,126.9776236
진고개,서울특별시 중구 충무로3가 30-16번지 ,서울특별시 중구 충무로 19-1 (충무로3가),한식,중구,126.9928332,37.56301306,진고개,서울특별시 중구 충무로 19-1 1층,4.0,한식당,930,37.5629747,126.9928161
덕화장,서울특별시 중구 장충동2가 12-3번지 ,서울특별시 중구 동호로24길 41 (장충동2가),중국식,중구,127.0053684,37.56103892,덕화장,서울특별시,3.7,음식점,239,37.5609804,127.0053281
대복,서울특별시 중구 북창동 65-2번지 ,서울특별시 중구 세종대로14길 22 (북창동),한식,중구,126.9779298,37.56279469,대복,서울특별시 중구 세종대로14길 22,4.2,복어 요리 전문식당,123,37.5627276,126.9778726
우성갈비,서울특별시 중구 신당동 372-36 1층 ,"서울특별시 중구 동호로7길 13, 1층 (신당동)",중국식,중구,127.0111734,37.55316362,우성갈비,서울특별시 중구 동호로7길 13,3.6,갈비 전문 음식점,365,37.5532411,127.0111672
뚝도 손칼국수,서울특별시 중구 신당동 121-60 (지상1층) ,"서울특별시 중구 다산로42길 37 (신당동,(지상1층))",한식,중구,127.0183319,37.56453274,뚝도손칼국수,서울특별시 중구 신당동 121 60번지 1층,5.0,한식당,2,37.5644888,127.0183127
대원집,서울특별시 중구 다동 124-2 ,서울특별시 중구 을지로3길 30-4 (다동),한식,중구,126.9816526,37.56741125,대원집,서울특별시 중구 을지로3길 30-4,4.0,한식당,379,37.5674109,126.9816528
그랜드 사마리칸트,서울특별시 중구 광희동1가 142 ,"서울특별시 중구 을지로44길 10, 1층 (광희동1가)",한식,중구,127.0064303,37.56573506,그랜드 사마르칸트 (GRAND SAMRKAND),서울특별시 중구 을지로44길 10,3.3,우즈베키스탄 레스토랑,54,37.5657347,127.0064305
키노이에,서울특별시 중구 오장동 206-24 ,서울 중구 동호로 325,한식,중구,127.0021982,37.5635596,키노이에 kinoiae,서울특별시 중구 동호로 325 1층,4.3,오코노미야끼 전문식당,19,37.5635363,127.0021198
오신정,서울특별시 중구 충무로3가 23-3번지 ,서울특별시 중구 퇴계로27길 42 (충무로3가),한식,중구,126.9913607,37.56318536,돼지한판 오신정,서울특별시 중구 퇴계로27길 42,4.0,한식당,54,37.5631347,126.9913463
짱이네,서울특별시 중구 을지로1가 16번지 지하1층(B107호) ,"서울특별시 중구 무교로 6 (을지로1가,지하1층(B107호))",한식,중구,126.9795044,37.56648524,짱이네,을지로1가 16번지 금세기상가 24호 중구 서울특별시 KR,3.4,상점,23,37.5664601,126.9794463
원조집,서울특별시 중구 중림동 471번지 1층 ,"서울특별시 중구 청파로 457-1 (중림동, 1층)",한식,중구,126.9678018,37.56019651,닭칼원조집,서울특별시 중구 청파로 457-1,4.1,닭요리전문점,397,37.5601579,126.9678207
김가네김밥,서울특별시 중구 남대문로5가 20-1번지 1층 ,"서울특별시 중구 세종대로 28 (남대문로5가, 1층)",분식,중구,126.9747613,37.55887672,김가네김밥 (서울역점),서울특별시 중구 남대문로5가 20-1,3.8,김밥전문점,62,37.5588996,126.9745768
권명옥 가마솥 나주곰탕,서울특별시 중구 다동 50 ,"서울특별시 중구 다동길 17, 2층 (다동)",한식,중구,126.9803143,37.56789917,권명옥가마솥나주곰탕,서울특별시 중구 다동길 17 2층,3.3,음식점,4,37.567894,126.9802884
테트,서울특별시 중구 명동1가 1-3 YWCA연합회 ,"서울특별시 중구 명동길 73, YWCA연합회 7층 701호 (명동1가)","외국음식전문점(인도,태국등)",중구,126.9862129,37.56438185,테트 tatt,서울특별시 중구 명동길 73,4.9,,43,37.5643815,126.986213
육일봉,서울특별시 중구 을지로3가 291-32 ,"서울특별시 중구 을지로16길 20, 5층 (을지로3가)",감성주점,중구,126.9933962,37.56554775,육일봉,서울특별시 중구 을지로3가 을지로16길 20 6층,4.5,카페,15,37.5654653,126.9933588
장수원,서울특별시 중구 흥인동 13-1번지 ,"서울특별시 중구 다산로46길 17, 1층 120호 (흥인동)",한식,중구,127.0171103,37.56686162,장수원,서울특별시 중구 흥인동 13-1번지 1층,4.8,우동 전문점,9,37.566813,127.0170721
화포식당,서울특별시 중구 을지로2가 199-40번지 명동아르누보센텀 ,"서울특별시 중구 명동7길 21, 명동아르누보센텀 1층 119호 (을지로2가)",한식,중구,126.9838681,37.56471038,화포식당,서울특별시 중구 명동7길 21,3.9,한식 고기구이 레스토랑,174,37.5649084,126.9838827
을지로 유카네,서울특별시 중구 초동 107-10번지 ,"서울특별시 중구 을지로12길 27-1, 1층 (초동)",일식,중구,126.9908588,37.56502684,을지로 유카네,서울특별시 중구 을지로12길 27-1,4.5,일본 음식점,57,37.5650049,126.9908529
메종뵈르(MASION BEURRE),서울특별시 중구 인현동1가 102-5 ,"서울특별시 중구 마른내로 50-1, 2층 (인현동1가)",감성주점,중구,126.9933803,37.56424088,메종뵈르,서울특별시 중구 마른내로 50-1,5.0,서양음식전문점,3,37.5642405,126.9933805
충무물갈비,서울특별시 중구 충무로4가 155-1번지 ,"서울특별시 중구 퇴계로37길 26, 1,2층 (충무로4가)",한식,중구,126.9936667,37.56231008,충무물갈비 본점,서울특별시 중구 충무로4가 퇴계로37길 26,4.1,음식점,89,37.5622709,126.9936496
서울 부띠끄,서울특별시 중구 만리동1가 62-1 대양항공화물 ,"서울특별시 중구 만리재로 209-1, 대양항공화물 1,2층 (만리동1가)","외국음식전문점(인도,태국등)",중구,126.9682175,37.55611733,서울부띠끄,서울특별시 중구 만리재로 209-1,4.2,이탈리아 음식점,331,37.5561169,126.9682177
손실장 참치,서울특별시 중구 신당동 145-9 ,"서울특별시 중구 퇴계로86길 43, 1층 (신당동)",한식,중구,127.0196149,37.56362313,손실장참치,서울특별시 중구 신당동 145-9,4.0,일본 음식점,1,37.5636227,127.0196151
희희카츠,서울특별시 중구 필동2가 81-11 ,"서울특별시 중구 퇴계로36길 36, 1층 (필동2가)",일식,중구,126.9951749,37.5602965,희희카츠,서울특별시 중구 필동2가 81-11번지 1층,4.8,돈까스 전문식당,63,37.56028,126.9951784
처갓집 양념치킨 충무로점,서울특별시 중구 필동1가 19 ,"서울특별시 중구 퇴계로 179-1, 1층 (필동1가)",호프/통닭,중구,126.9919013,37.56127802,처갓집양념치킨 충무로점,서울특별시 중구 퇴계로 179-1,4.2,포장 전문 프라이드 치킨집,5,37.5612386,126.9918842
나마스테,서울특별시 중구 필동1가 21-2번지 가락회관 ,"서울특별시 중구 퇴계로 182, 가락회관 지하1층 (필동1가)","외국음식전문점(인도,태국등)",중구,126.9919553,37.56089247,나마스테 레스토랑,서울특별시 중구 퇴계로 182 지하 1층,4.6,인도 레스토랑,123,37.5608228,126.9919419
탄탄면공방 명동점,서울특별시 중구 을지로2가 199-40번지 명동아르누보센텀 ,"서울특별시 중구 명동7길 21, 명동아르누보센텀 1층 120호 (을지로2가)",기타,중구,126.9838681,37.56471038,탄탄면공방 명동점 (Tantan Noodles Kitchen),명동 199-40 KR 서울특별시 중구 을지로2가 아르누보센텀 탄탄면공방,4.3,음식점,123,37.5648973,126.9838374
부함식당 을지로입구역점,서울특별시 중구 다동 140 패스트파이브타워 ,"서울특별시 중구 남대문로9길 24, 패스트파이브타워 1층 105,106호 (다동)",한식,중구,126.9811401,37.56708746,부함식당 을지로입구역점,서울특별시 중구 다동 남대문로9길 24,4.0,,23,37.567166,126.9810433
유천냉면 명동점,서울특별시 중구 을지로2가 199-46번지 ,"서울특별시 중구 명동3길 17, 1층 (을지로2가)",한식,중구,126.9834169,37.56452629,유천냉면 x 해늘찹쌀순대 명동점,서울특별시 중구 명동3길 17 1층,3.8,한식당,102,37.56451,126.9834372
을지로보석,서울특별시 중구 저동2가 84-11 ,"서울특별시 중구 마른내로 11-10, 3층 (저동2가)",한식,중구,126.9892481,37.56514877,을지로 보석,서울특별시 중구 마른내로 11-10 3층,3.8,술집,113,37.5651271,126.9892327
(주)엠에프지코리아 매드포갈릭 센터원점,서울특별시 중구 수하동 67 미래에셋 센터원(Mirae Asset CENTER1) ,"서울특별시 중구 을지로5길 26, 미래에셋 센터원(Mirae Asset CENTER1) 지하2층 (수하동)",경양식,중구,126.9851782,37.56742114,매드포갈릭 센터원점,서울특별시 중구 수하동 을지로5길 26,4.3,이탈리아 음식점,51,37.5673583,126.9851356
LIKETHIZ 1601(라이크디즈 1601),서울특별시 중구 서소문동 75-95번지 유원빌딩 ,"서울특별시 중구 서소문로 116, 유원빌딩 16층층 1601호,1602호 (서소문동)",기타,중구,126.9740586,37.56266433,라이크디즈1601 LIKETHIZ1601,서울특별시 중구 서소문로 116 유원빌딩 16층,4.6,미술관,70,37.562664,126.974059
LOITER(로이터),서울특별시 중구 필동3가 62-11번지 삼경빌딩 ,"서울특별시 중구 필동로 53, 삼경빌딩 3층 (필동3가)",기타,중구,126.9962363,37.55660746,로이터 커피 셸터,서울특별시 중구 필동로 53,4.5,카페,155,37.5566071,126.9962365
bird(버드),서울특별시 중구 남산동1가 13-6 ,"서울특별시 중구 퇴계로18길 46, 1층 (남산동1가)",기타,중구,126.984486,37.5592228,버드 더 카페,서울특별시 중구 퇴계로18길 46,4.4,커피숍/커피 전문점,119,37.5592224,126.9844862
애프터저크오프,서울특별시 중구 저동2가 15 ,"서울특별시 중구 수표로 42-21, 4,5층 (저동2가)",기타,중구,126.9904556,37.56504045,애프터저크오프,서울특별시 중구 수표로 42-21,4.4,,142,37.5650016,126.9904423
선미슈퍼,서울특별시 중구 필동3가 44-3번지 ,"서울특별시 중구 필동로 31-1, 지하1층 (필동3가)",분식,중구,126.9962795,37.55869752,선미네마트,필동3가 44-3번지 중구 서울특별시 KR,4.4,식료품점,11,37.558662,126.9962686
이원,서울특별시 중구 주교동 43-32번지 ,"서울특별시 중구 동호로37길 33-16, 1층 (주교동)",분식,중구,126.9996734,37.5685925,이원 손칼국수,서울특별시 중구 주교동 43-32,4.4,한식당,37,37.5685544,126.9996563
상우가든,서울특별시 중구 저동2가 7-2 제이매크로타워 지하1층 B01호-B03호 ,"서울특별시 중구 을지로12길 28, 제이매크로타워 지하1층 B01호-B03호 (저동2가)",한식,중구,126.9905657,37.56516021,상우가든 (Sangwoo Garden),서울특별시 중구 을지로12길 28,4.2,한국식 소고기 전문 음식점,249,37.5651497,126.9906154
수잔나의 앞치마,서울특별시 중구 충무로5가 36-12번지 ,"서울특별시 중구 퇴계로49길 24, 1층 (충무로5가)",기타,중구,126.9996063,37.56330458,수잔나의 앞치마,서울특별시 중구 퇴계로49길 24,4.5,카페,438,37.5632737,126.9995798
어부네코다리 신당점,서울특별시 중구 신당동 247-48 ,서울특별시 중구 퇴계로 382-1 (신당동),한식,중구,127.0140269,37.5648795,자성화맛집코다리네 서울신당점,서울특별시 중구 신당동 247-48,3.8,음식점,5,37.564871,127.0140097
크레이지 후라이,서울특별시 중구 다동 140 패스트파이브타워 ,"서울특별시 중구 남대문로9길 24, 패스트파이브타워 1층 (다동)",분식,중구,126.9811401,37.56708746,크레이지후라이 무교점,KR 서울특별시 중구 남대문로9길 24 패스트파이브타워 크레이지후라이 무교점 1층,3.9,음식점,58,37.567102,126.9811195
동호민물장어,서울특별시 중구 태평로2가 54-0번지 ,서울특별시 중구 세종대로18길 6-1 (태평로2가),일식,중구,126.9774363,37.5637272,동호민물장어,서울특별시 중구 태평로2가 54,4.0,음식점,237,37.563684,126.9774285
잊지마식당,서울특별시 중구 인현동2가 192-17 ,서울특별시 중구 퇴계로41길 47 (인현동2가),한식,중구,126.9954063,37.56394224,잊지마식당,서울특별시 인현동2가 192-17,3.9,한식당,207,37.5638971,126.9954264
담소사골순대 충무로점,서울특별시 중구 초동 34-4 ,"서울특별시 중구 충무로 34, 1층 (초동)",한식,중구,126.9931064,37.56403681,담소사골순대충무로점,서울특별시,4.0,순대 전문점,138,37.5640583,126.9930857
지져스(ZISUS),서울특별시 중구 황학동 426 ,"서울특별시 중구 퇴계로85길 32, 1층 (황학동)",한식,중구,127.0197685,37.56714772,지져스,서울특별시 중구 오른쪽 1층,5.0,한식당,25,37.5671212,127.0197546
명동 아지트,서울특별시 중구 충무로2가 66-9 ,"서울특별시 중구 명동8가길 7, 8층 (충무로2가)",기타,중구,126.9854027,37.56175775,md azit,서울특별시 중구 명동8가길 7번지 8층,4.0,카페,1,37.5617573,126.9854028
지유켄,서울특별시 중구 저동2가 5-3 ,"서울특별시 중구 수표로 42-7, 내1층 (저동2가)",일식,중구,126.9902167,37.56528003,지유켄,서울특별시 중구 수표로 42-7 1층,4.2,중국 음식점,49,37.5652133,126.9901938
코코이찌방야 서울스퀘어점,서울특별시 중구 남대문로5가 541 ,"서울특별시 중구 한강대로 416, 지하1층 Unit#B1F-16호 (남대문로5가)",일식,중구,126.9738606,37.5555219,코코이찌방야 서울스퀘어점,서울특별시 중구 남대문로5가 541,3.5,일본식 카레 전문식당,2,37.5555215,126.9738608
신당상회,서울특별시 중구 흥인동 14 ,"서울특별시 중구 퇴계로81길 7-8, 1층 (흥인동)",한식,중구,127.0176878,37.56617346,신당상회,서울특별시 중구 흥인동 14-46,5.0,술집,6,37.5661271,127.0178113
연락,서울특별시 중구 충무로3가 57-24 ,"서울특별시 중구 수표로2길 23, 1층 (충무로3가)",기타,중구,126.9918474,37.56229404,연락,서울특별시 중구 수표로2길 23 숯불구이 연락 1층,4.0,한식 고기구이 레스토랑,14,37.562239,126.9918524
맥파이 을지로점,서울특별시 중구 을지로3가 118-6 ,"서울특별시 중구 을지로 127, 4층 (을지로3가)",경양식,중구,126.9920629,37.56658383,맥파이 을지로점,서울특별시 중구 을지로 127 4층,4.6,술집,41,37.5665834,126.9920631
이치규 서울역점,서울특별시 중구 남대문로5가 631,"서울특별시 중구 후암로 98, 지하1층 B116호 (남대문로5가)",한식,중구,126.9748246,37.55388694,이치규 서울역점 (Japanese Restaurant Ichigyu Seoul Station) | 서울역 맛집 | Japanese-style beef cutlet | イチギュ / 李致奎 ソウル駅店 / 首尔站店,지하 KR 서울특별시 중구 후암로 98 LG 서울역빌딩 1층 B116호,5.0,일본 음식점,47,37.5538504,126.9747308
무작위,서울특별시 중구 인현동2가 192-20 정암프라자 ,"서울특별시 중구 퇴계로41길 39, 정암프라자 지층 (인현동2가)",한식,중구,126.9954014,37.56361038,무작위MZW,서울특별시 중구 퇴계로41길 39,5.0,술집,19,37.5636322,126.9954002
무무,서울특별시 중구 을지로3가 295-3 ,"서울특별시 중구 충무로7길 2, 2층,3층 (을지로3가)",기타,중구,126.9924166,37.56591132,무무,서울특별시 중구 충무로7길 2,4.0,술집,1,37.5659109,126.9924168
한양문고 디킨즈,서울특별시 중구 명동2가 83-5 Noon Square ,"서울특별시 중구 명동길 14, Noon Square 지하2층 (명동2가)",기타,중구,126.9828905,37.5634133,한양문고&카페 명동눈스퀘어점,서울특별시 중구 명동길 14 눈스퀘어 B2,4.9,서점,206,37.5634129,126.9828907
소제이 서울시청점,서울특별시 중구 북창동 99-3 ,"서울특별시 중구 남대문로1길 22, 1층 (북창동)",한식,중구,126.9775589,37.56205897,소제이 서울시청점,서울특별시 중구 남대문로1길 22 소제이서울시청점 1층,4.5,음식점,13,37.5620586,126.9775591
슬로우캘리 을지로점,서울특별시 중구 수하동 67 미래에셋 센터원(Mirae Asset CENTER1) ,"서울특별시 중구 을지로5길 26, 미래에셋 센터원(Mirae Asset CENTER1) 지1층 118호 (수하동)","외국음식전문점(인도,태국등)",중구,126.9851782,37.56742114,슬로우캘리 을지로점,서울특별시 중구 을지로5길 26 미래에셋센터원 지하 1층 118호,4.4,음식점,5,37.5672707,126.9849774
우리예술,서울특별시 중구 쌍림동 243-5 ,"서울특별시 중구 장충단로7길 10, 2층 (쌍림동)",한식,중구,127.0059221,37.56245683,우리예술 Woori Yeahsool,서울특별시 중구 장충단로7길 10,4.9,양조장 주점,22,37.5624564,127.0059223
움푹,서울특별시 중구 인현동1가 57-1 ,"서울특별시 중구 충무로4길 19-4, 1층 (인현동1가)",일식,중구,126.9941273,37.56516908,움푹,서울특별시 중구 충무로4길 19-4,4.0,술집,6,37.5651687,126.9941275
토마토김밥 파인에비뉴점,서울특별시 중구 을지로2가 203 파인에비뉴 ,"서울특별시 중구 을지로 100, 파인에비뉴 지1층 빌앤쿡 내 12호 (을지로2가)",분식,중구,126.9885776,37.56574597,쉐프가만든떡볶이 파인에비뉴점,을지로2가 203번지 하1층 B동 09호 파인애비뉴 중구 서울특별시 KR,4.2,음식점,10,37.5656958,126.9884849
가배도 시청점,서울특별시 중구 태평로2가 329-12 ,"서울특별시 중구 세종대로 79, 1,2,3,4층 (태평로2가)",경양식,중구,126.9764273,37.56348847,가배도 시청점,서울특별시 중구 세종대로 79 1 4층,4.6,카페,68,37.5634401,126.9763659
고우가 광화문,서울특별시 중구 태평로1가 84 파이낸스빌딩 ,"서울특별시 중구 세종대로 136, 파이낸스빌딩 지2층 205호 (태평로1가)",한식,중구,126.9777396,37.56842771,고우가 광화문,파이낸스빌딩 지하 136 KR 서울특별시 중구 세종대로 고우가 2층,5.0,한식당,201,37.5684273,126.9777398
버터컵 베이커리,서울특별시 중구 수하동 40-2 ,"서울특별시 중구 남대문로10길 28, 10층 (수하동)",경양식,중구,126.9842353,37.56744395,버터컵베이커리,서울특별시 중구 수하동 40-2,5.0,제과점,1,37.5674435,126.9842354
웅달우동 자가누룩제면소,서울특별시 중구 신당동 291-48 동산빌딩,"서울특별시 중구 다산로36길 11, 동산빌딩 1층 입구좌측 제일끝호 (신당동)",일식,중구,127.0162114,37.56287375,웅달우동 자가누룩제면소,서울특별시 중구 다산로36길 11 1층,5.0,우동 전문점,56,37.5628733,127.0162116
비피,서울특별시 중구 인현동2가 192-19 ,"서울특별시 중구 퇴계로41길 43, 3층 (인현동2가)",한식,중구,126.9954167,37.56375366,비피 beefy,서울특별시 중구 퇴계로41길 43 3층,4.8,와인 바,8,37.5637319,126.9953978
커피기업 을지로L타워점,서울특별시 중구 을지로2가 205 신한L Tower ,"서울특별시 중구 삼일대로 358, 신한L Tower 1층 (을지로2가)",기타,중구,126.9880783,37.56648826,커피기업 을지로L타워점,서울특별시 중구 삼일대로 358 커피기업 을지로L타워점 신한L타워 104호,4.3,카페,3,37.5665168,126.9880462
에프오커피(F5 Coffee),서울특별시 중구 신당동 292-14 ,"서울특별시 중구 다산로38길 12, 1층 101호 (신당동)",기타,중구,127.0163354,37.56312353,F5 Coffee,서울특별시 중구 다산로38길 12,5.0,커피숍/커피 전문점,3,37.5631231,127.0163356
쌈쌈,서울특별시 중구 필동2가 50 ,"서울특별시 중구 퇴계로42길 3-7, 지하1층 (필동2가)",한식,중구,126.9970994,37.56155379,쌈쌈,서울특별시 중구 퇴계로42길 3-7,5.0,술집,2,37.5615534,126.9970995
도깨비불고기,서울특별시 중구 을지로6가 18-37번지 ,"서울특별시 중구 을지로43길 38, 1층 (을지로6가)",한식,중구,127.0077639,37.56770516,도깨비불고기 동대문본점,서울특별시 중구 을지로43길 38,4.0,불고기 전문점,229,37.5676792,127.0076108
강남교자 동대문점,서울특별시 중구 을지로6가 18-97번지 2층 ,"서울특별시 중구 장충단로13길 13 (을지로6가, 2층)",경양식,중구,127.0078602,37.56782576,강남교자 동대문점,서울특별시 중구 장충단로13길 13 2층,3.9,칼국수집,66,37.5677909,127.0078371
동심,서울특별시 중구 필동1가 9-1번지 ,서울특별시 중구 퇴계로27길 12-4 (필동1가),한식,중구,126.9918943,37.56167854,동심,서울특별시 중구 퇴계로27길 12-4,3.8,한식당,73,37.5616304,126.9918733
명동알쌈쭈꾸미(동대문점),서울특별시 중구 을지로6가 18-97번지 ,서울특별시 중구 장충단로13길 13 (을지로6가),경양식,중구,127.0078602,37.56782576,명동알쌈쭈꾸미,서울특별시 중구 장충단로13길 13,4.1,한식당,22,37.5677909,127.0078371
다마시떼,서울특별시 중구 을지로2가 199-59번지 ,서울특별시 중구 명동7가길 20-4 (을지로2가),중국식,중구,126.9833089,37.56464852,다마시떼,서울특별시,4.1,카페,9,37.5646095,126.9832916
딴따라오뎅,서울특별시 중구 을지로2가 199-41번지 (지상1층) ,"서울특별시 중구 명동7길 19 (을지로2가,(지상1층))",한식,중구,126.9842256,37.56465844,딴따라오뎅,서울특별시 중구 명동7길 19,4.5,음식점,435,37.5646636,126.9842665
꼬지사께 동대문점,서울특별시 중구 을지로6가 18-82 ,"서울특별시 중구 장충단로 249-28, 지하1층,1층 (을지로6가)",감성주점,중구,127.007579,37.56734398,꼬지사께 동대문점,서울특별시 중구 을지로6가 18-82,4.6,술집,8,37.5673436,127.0075791
올디스 타코 2호점,서울특별시 중구 초동 17-2 ,"서울특별시 중구 충무로4길 5, 1층 103호 (초동)",경양식,중구,126.9931735,37.56513378,올디스타코 2호점,서울특별시 중구 충무로4길 5,4.3,멕시코 음식점,22,37.5650732,126.9932152
헤이!지니,서울특별시 중구 을지로3가 315-10 ,"서울특별시 중구 을지로12길 7, 2층 (을지로3가)",경양식,중구,126.9913075,37.56584753,헤이 지니,서울특별시 중구 을지로12길 7 2 층,5.0,이탈리아 음식점,7,37.5658471,126.9913077
꼬르륵 키친,서울특별시 중구 신당동 296-17 ,"서울특별시 중구 청구로 83, 1층 (신당동)",분식,중구,127.013071,37.56037133,꼬르륵키친,서울특별시 중구 청구로 83 1층,5.0,음식점,1,37.5604028,127.0131051
헬카페 뮤직,서울특별시 중구 주교동 227-1 ,"서울특별시 중구 을지로27길 27, 1층 (주교동)",경양식,중구,126.9989127,37.56795382,헬카페 뮤직,서울특별시 중구 주교동 227-1,4.5,커피숍/커피 전문점,32,37.5680215,126.9990248
크루아타이(KRUA THAI),서울특별시 중구 남대문로5가 831 그랜드센트럴(GRAND CENTRAL) ,"서울특별시 중구 세종대로 14, 그랜드센트럴(GRAND CENTRAL) 1층 104호 (남대문로5가)","외국음식전문점(인도,태국등)",중구,126.9743791,37.55787744,크루아타이,서울특별시 중구 세종대로 14,3.9,태국 음식점,10,37.557877,126.9743793
홍호아 동국대점,서울특별시 중구 충무로5가 90 ,"서울특별시 중구 서애로1길 11, 1층 상가104호 (충무로5가)","외국음식전문점(인도,태국등)",중구,126.9985012,37.56140809,홍호아 동국대점(Honghoa Dongguk University),서울특별시 중구 서애로1길 11,4.9,베트남 음식점,28,37.5614077,126.9985014
선향정 샤브샤브,서울특별시 중구 서소문동 57-1 ,"서울특별시 중구 서소문로 101-1, 2층 (서소문동)",한식,중구,126.9723018,37.56301309,선향정 샤브샤브 시청역점,서울특별시 중구 서소문로 101-1,5.0,샤브샤브 전문점,1,37.5630127,126.9723019
커피코드(coffeecord),서울특별시 중구 충무로3가 49 ,"서울특별시 중구 충무로 13, 1층 107호 (충무로3가)",기타,중구,126.9926351,37.56236342,커피코드(Coffee Cord),서울특별시 중구 충무로 13 1층 107호,5.0,커피숍/커피 전문점,11,37.5621811,126.9925508
을지정육식당,서울특별시 중구 을지로3가 320-24 ,"서울특별시 중구 충무로5길 24, 1층 (을지로3가)",한식,중구,126.9914855,37.56547363,을지정육,서울특별시 중구 충무로5길 24,4.2,숯불구이/바베큐전문점,23,37.565462,126.9914067
명동방앗간 아하(AHA),서울특별시 중구 명동2가 55-4 ,"서울특별시 중구 명동4길 32, 1층 (명동2가)",분식,중구,126.9838823,37.56226839,Aha!,"맞은편 골목, 35 명동4길 중구 서울특별시",4.2,간이음식점,38,37.5621155,126.9839468
강탄치킨,서울특별시 중구 초동 61-1 ,"서울특별시 중구 마른내로2길 14, 2층 (초동)",호프/통닭,중구,126.9921215,37.56386478,강탄 을지로 본점,서울특별시 중구 마른내로2길 14,4.2,술집,29,37.5638644,126.9921217
오덕장 을지로점,서울특별시 중구 을지로3가 346-1 ,"서울특별시 중구 을지로 110, 2층 (을지로3가)",한식,중구,126.9900577,37.56601802,오덕장 을지로본점,서울특별시 중구 을지로 110,4.6,한식당,29,37.5660176,126.9900579
황제뷔페,서울특별시 중구 명동2가 32-14 ,"서울특별시 중구 명동10길 16-1, 4층 (명동2가)",한식,중구,126.9851913,37.56306437,황제숯불구이뷔페2호점,서울특별시 중구 명동10길 16-1 4층,5.0,한식 고기구이 레스토랑,20,37.5630639,126.9851915
어퍼(upper),서울특별시 중구 저동2가 46-13 ,"서울특별시 중구 수표로12길 16, 2층 (저동2가)",한식,중구,126.9910022,37.5640153,UPPER,서울특별시 중구 수표로12길 16 2층,5.0,술집,5,37.5640149,126.9910023
산청숯불가든 을지로,서울특별시 중구 을지로3가 343-1 홍원빌딩 ,"서울특별시 중구 을지로 114-6, 홍원빌딩 1층 (을지로3가)",한식,중구,126.9906211,37.56582043,산청숯불가든 을지로,서울특별시 중구 을지로 114-6,4.7,음식점,277,37.56582,126.9906213
센트럴 윤잇 국립극장점(Central Yunit),서울특별시 중구 장충동2가 산 14-67 ,"서울특별시 중구 장충단로 59, 국립중앙극장 해오름극장 건물 L층 (장충동2가)",경양식,중구,127.0001306,37.5528702,센트럴 윤잇 국립극장점,서울특별시 중구 장충단로 59,4.3,서양음식전문점,3,37.5528698,127.0001308
레팍라(Lepak La)식당,서울특별시 중구 남산동3가 13-22 ,"서울특별시 중구 퇴계로24길 2, 1층,2층 (남산동3가)","외국음식전문점(인도,태국등)",중구,126.9869409,37.56075769,Lepak Laa Restaurant,서울특별시 중구 남산동3가 13-23,4.9,아시아 레스토랑,104,37.5607415,126.9868829
가야성2,서울특별시 중구 을지로2가 101-38 ,"서울특별시 중구 을지로9길 6, 3층 (을지로2가)",중국식,중구,126.98851,37.56649761,가야성,서울특별시 중구 을지로9길 6,4.0,중국 음식점,422,37.566498,126.9884371
꺼멍도새기,서울특별시 중구 북창동 5-2 ,"서울특별시 중구 남대문로5길 49, 1층 (북창동)",한식,중구,126.9786794,37.5635534,꺼멍도새기,서울특별시 중구 북창동 5-2,4.0,고기 요리 전문점,109,37.5635252,126.9786554
전막골,서울특별시 중구 남창동 168-13 지하1 ,"서울특별시 중구 퇴계로 42-2, 지하1층 (남창동)",한식,중구,126.9776556,37.55771267,전막골,서울특별시 중구 퇴계로 42-2,3.3,한식당,3,37.5576751,126.9776878
순남 시래기,서울특별시 중구 초동 70-6 ,서울특별시 중구 마른내로2길 8 (초동),한식,중구,126.9923112,37.56406431,순남시래기 충무로점,서울특별시 중구 마른내로2길 8,4.2,한식당,221,37.5640253,126.9922972
계동치킨,서울특별시 중구 을지로2가 199-56 (지상1층) ,"서울특별시 중구 명동9길 37-5 (을지로2가,(지상1층))",한식,중구,126.9839495,37.56536021,계동치킨 명동점,서울특별시 중구 명동9길 37-5,3.5,닭요리전문점,11,37.565316,126.9839272
교촌치킨 서울시청점,서울특별시 중구 태평로2가 55-0번지 ,서울특별시 중구 세종대로18길 6 (태평로2가),한식,중구,126.9773481,37.56373538,교촌치킨 서울시청점,서울특별시 중구 세종대로18길 6,4.0,포장 전문 프라이드 치킨집,251,37.5637003,126.9773343
