사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도
종로곱창,서울특별시 성북구 동소문동2가 43 ,서울특별시 성북구 동소문로6길 8 (동소문동2가),한식,성북구,127.0080914,37.58881266,종로곱창,서울특별시 성북구 삼선동 동소문로6길 8,4.4,곱창전문점,228,37.5887465,127.0080764
청훈칼국수,서울특별시 성북구 길음동 489-93번지 ,서울특별시 성북구 도봉로 7-19 (길음동),분식,성북구,127.0297377,37.60983032,청훈칼국수,서울특별시 성북구 길음제2동 489-93,4.5,간이 식당,2,37.6098053,127.0297549
허그스(hugs),서울특별시 성북구 동선동2가 135-5 ,서울특별시 성북구 보문로30길 79 (동선동2가),기타,성북구,127.0196862,37.59104071,허그스,서울특별시 성북구 동선동2가 135-5 허그스,5.0,스테이크 전문점,2,37.5910403,127.0196863
쌤(ssaem),서울특별시 성북구 정릉동 372-48 ,"서울특별시 성북구 솔샘로6길 62, 지상2층 (정릉동)",기타,성북구,127.0078263,37.60889953,쌤(ssaem),서울특별시 성북구 솔샘로6길 62 2층,5.0,서양음식전문점,5,37.6088991,127.0078264
날마다 봄,서울특별시 성북구 상월곡동 7-135 ,"서울특별시 성북구 화랑로 195-5, 1층 (상월곡동)",한식,성북구,127.0518671,37.60858444,날마다봄,서울특별시,5.0,한식당,1,37.6085535,127.0519126
낭만유이,서울특별시 성북구 삼선동5가 64-2 ,"서울특별시 성북구 삼선교로22길 22, 지상1층 101호 (삼선동5가)",기타,성북구,127.0145606,37.58852229,낭만유이,서울특별시 성북구 삼선교로22길 22 1층,5.0,커피숍/커피 전문점,1,37.5885219,127.0145607
골목집,서울특별시 성북구 정릉동 107-32 ,"서울특별시 성북구 아리랑로19길 9-10, 1층 (정릉동)",한식,성북구,127.0127221,37.6023777,골목집,서울특별시 성북구 아리랑로19길 9-11,5.0,한식당,2,37.6022654,127.0126583
미스터피자 성신여대점,서울특별시 성북구 동선동3가 234 1층 ,"서울특별시 성북구 보문로34나길 3, 1층 (동선동3가)",기타,성북구,127.0203542,37.59153368,미스터피자성신여대점,서울특별시 성북구 동선동3가 234번지 1층,3.0,음식점,2,37.5914376,127.0203356
떡볶이 심리학,서울특별시 성북구 석관동 341-91 1층 ,"서울특별시 성북구 화랑로 188, 1층 (석관동)",기타,성북구,127.0513892,37.60766437,떡볶이 심리학,서울특별시 성북구 화랑로 188,4.5,떡볶이 전문점,24,37.6076617,127.0514273
화랑식당,서울특별시 성북구 정릉동 992-21 지하1층 ,"서울특별시 성북구 보국문로 169, 지하1층 (정릉동)",한식,성북구,127.0023676,37.61700283,화랑식당,서울특별시,4.9,음식점,12,37.6169816,127.0023437
불난집 떡볶이,서울특별시 성북구 길음동 877-184 ,"서울특별시 성북구 동소문로 225-9, 외 필지 비동 1층 (길음동)",기타,성북구,127.0216025,37.60223589,불난집,서울특별시 성북구 동소문로 225-9,4.0,패스트푸드점,21,37.6022267,127.0215474
능이네버섯백숙,서울특별시 성북구 정릉동 290-26 1층 ,"서울특별시 성북구 보국문로 94, 1층 (정릉동)",한식,성북구,127.0081474,37.61261883,능이네버섯백숙,서울특별시 성북구 정릉동 290 26번지 1층,2.5,음식점,2,37.6125637,127.0080988
교촌치킨 석관장위점,서울특별시 성북구 장위동 50-46 1층 106호,"서울특별시 성북구 화랑로 265, 1층 106호 (장위동)",호프/통닭,성북구,127.0583771,37.61191892,교촌치킨 석관장위,서울특별시 성북구 장위동 50-46,3.6,포장 전문 프라이드 치킨집,50,37.6118489,127.0584925
정통집,서울특별시 성북구 동선동1가 28번지 1층 ,"서울특별시 성북구 동소문로20길 29-20, 1층 (동선동1가)",한식,성북구,127.0178287,37.59146306,정통집 성신여대점,서울특별시 성북구 동선동1가 28,4.4,음식점,43,37.5914609,127.0177751
흥부네 산꼼장어,서울특별시 성북구 동소문동5가 63-7 ,"서울특별시 성북구 보문로40길 36, 1층 (동소문동5가)",한식,성북구,127.0155486,37.59192802,흥부네꼼장어,서울특별시 성북구 보문로40길 36,5.0,숯불구이/바베큐전문점,1,37.5919121,127.0155305
화염마라탕,서울특별시 성북구 정릉동 227-38 ,"서울특별시 성북구 서경로 80, 지하1층 103호 (정릉동)",한식,성북구,127.0148006,37.61048808,화염마라탕,서울 성북구 서경로 80 지하1층 103호,4.2,중국 음식점,15,37.6104877,127.0148007
명륜진사갈비 석관점,서울특별시 성북구 석관동 332-244 1층 ,"서울특별시 성북구 돌곶이로 30, 1층 (석관동)",한식,성북구,127.0610508,37.60718696,명륜진사갈비 서울 석관점,서울특별시 성북구 석관동 332-629,4.1,숯불구이/바베큐전문점,36,37.607179,127.060948
정릉맥주도가,서울특별시 성북구 정릉동 488-4번지 2층 ,"서울특별시 성북구 아리랑로19길 46-4, 2층 (정릉동)",호프/통닭,성북구,127.0106673,37.60269558,정릉맥주도가,서울특별시 성북구 아리랑로19길 46-4,4.8,양조장,6,37.6026376,127.0106315
피자스톰 성북점,서울특별시 성북구 안암동1가 130 ,"서울특별시 성북구 고려대로11길 50, 1층 좌측호 (안암동1가)",기타,성북구,127.0212789,37.58842849,피자스톰 성북점,서울특별시 성북구 고려대로11길 50,2.3,피자 전문점,3,37.5884281,127.0212791
맘스 테이블,서울특별시 성북구 장위동 216-43번지 ,"서울특별시 성북구 돌곶이로41길 11, 지하1층 B01호 (장위동)",기타,성북구,127.0459762,37.61845552,맘스테이블,서울특별시 성북구 돌곶이로41길 11,4.9,제과점,9,37.618429,127.0459678
