사업장명,지번주소,도로명주소,업태구분명,구,경도,위도
차이나타운,서울특별시 도봉구 도봉동 575-7번지 ,서울특별시 도봉구 도봉로181길 41 (도봉동),중국식,도봉구,127.0434544,37.68433294
취하리,서울특별시 도봉구 창동 578-32 지상1층 ,"서울특별시 도봉구 덕릉로59가길 41 (창동,지상1층)",한식,도봉구,127.0374257,37.63891874
금강산감자탕,서울특별시 도봉구 방학동 680-1 (1층) ,"서울특별시 도봉구 도봉로 669 (방학동,(1층))",한식,도봉구,127.042062,37.66440179
작은음악회(라이브),서울특별시 도봉구 방학동 668-8 지하1층 ,"서울특별시 도봉구 방학로 184 (방학동, 지하1층)",라이브카페,도봉구,127.0317398,37.66244155
형제숯불갈비,서울특별시 도봉구 방학동 669-5 옥희빌딩 1층 ,"서울특별시 도봉구 방학로 171-8, 1층 (방학동, 옥희빌딩)",한식,도봉구,127.0330605,37.66192019
온밀담,서울특별시 동대문구 용두동 39-19,"서울특별시 동대문구 왕산로32길 58, 1층 (용두동)",한식,동대문구,127.0410925,37.57672124
도봉기사식당,서울특별시 도봉구 도봉동 631-17 ,서울특별시 도봉구 마들로 736 (도봉동),한식,도봉구,127.048001,37.67548877
오꼬꼬,서울특별시 도봉구 쌍문동 574번지 성원하이츠 104호 ,"서울특별시 도봉구 도봉로133길 14 (쌍문동,성원하이츠 104호)",호프/통닭,도봉구,127.0388837,37.65757468
유니고기국밥,서울특별시 도봉구 도봉동 616-19번지 1층 ,"서울특별시 도봉구 도봉로155길 4, 1층 (도봉동)",한식,도봉구,127.043828,37.6729709
송정군불타는낙지,서울특별시 도봉구 방학동 682-2 1층 ,"서울특별시 도봉구 도봉로147길 25, 1층 (방학동)",한식,도봉구,127.0412539,37.66502721
일심당,서울특별시 도봉구 쌍문동 100-2 성원팰리스 103호 일부 ,"서울특별시 도봉구 도봉로109길 24 (쌍문동, 성원팰리스 103호 일부)",분식,도봉구,127.0321272,37.64707576
초이스,서울특별시 도봉구 도봉동 92-68번지 지상1층 ,"서울특별시 도봉구 도봉로152가길 160, 지상1층 (도봉동)",까페,도봉구,127.0452989,37.67666925
안다미로,서울특별시 도봉구 도봉동 636-17번지 지상1층 ,"서울특별시 도봉구 마들로 672-33, 지상1층 (도봉동)",호프/통닭,도봉구,127.0467922,37.66965696
박서방부대찌개,서울특별시 도봉구 도봉동 612번지 1층 ,"서울특별시 도봉구 시루봉로 290, 1층 (도봉동)",한식,도봉구,127.0411112,37.67106275
후타츠,서울특별시 도봉구 창동 655-10 지상1층,"서울특별시 도봉구 도봉로110길 9, 지상1층 (창동)",한식,도봉구,127.0341523,37.64640447
서용미곱창,서울특별시 도봉구 창동 557-65번지 (1층) ,"서울특별시 도봉구 덕릉로54길 7 (창동,(1층))",한식,도봉구,127.0378534,37.63767743
장수한방왕족발,서울특별시 도봉구 방학동 651-14 지상1층 ,"서울특별시 도봉구 도당로29길 59 (방학동,지상1층)",한식,도봉구,127.0420765,37.66984656
덩어리,서울특별시 도봉구 쌍문동 88-70 1층 ,"서울특별시 도봉구 도봉로117길 8, 1층 (쌍문동)",식육(숯불구이),도봉구,127.034604,37.64949896
