사업장명,지번주소,도로명주소,업태구분명,구,경도,위도
백곰오두막,서울특별시 영등포구 당산동4가 97 당산동 삼익플라주아파트 ,"서울특별시 영등포구 당산로 175, 당산동 삼익플라주아파트 제상가동 1층 105호 (당산동4가)",한식,영등포구,126.8982636,37.53022219
한강로칼국수보쌈 IFC 몰점,서울특별시 영등포구 여의도동 23 서울 국제금융 센터 ,"서울특별시 영등포구 국제금융로 10, 서울 국제금융 센터 지하3층 340호 (여의도동)",한식,영등포구,126.9252983,37.5249786
홍사촨촨향,서울특별시 영등포구 대림동 718-4 ,"서울특별시 영등포구 대림로27가길 3, 1층 (대림동)",중국식,영등포구,126.8987385,37.49536642
(주)브라더스스토어 계도 브라이튼점,서울특별시 영등포구 여의도동 525 브라이튼 여의도 ,"서울특별시 영등포구 국제금융로 39, 지상3층 306호 (여의도동, 브라이튼 여의도)",일식,영등포구,126.929338616058,37.5242915298626
차알 영등포타임스퀘어점,서울특별시 영등포구 영등포동4가 442 타임스퀘어 ,"서울특별시 영등포구 영중로 15, 타임스퀘어 101호 (영등포동4가)",중국식,영등포구,126.9033409,37.51707545
궁전식당,서울특별시 영등포구 당산동1가 4-25 ,"서울특별시 영등포구 영신로 139, 1층 (당산동1가)",한식,영등포구,126.9006687,37.52022546
개나리 식당,서울특별시 영등포구 양평동1가 192 ,"서울특별시 영등포구 영등포로13길 7, 1층 104호 (양평동1가)",한식,영등포구,126.8888976,37.52325632
꾸석지돌판한우,서울특별시 영등포구 영등포동3가 3-12,"서울특별시 영등포구 영중로10길 23, 1층 (영등포동3가)",한식,영등포구,126.9080852,37.51890889
카페 파크뷰 cafe park view,서울특별시 영등포구 대림동 727-3 ,"서울특별시 영등포구 대림로29가길 1, 1층 (대림동)",기타,영등포구,126.8970262,37.49528934
굽네치킨 영등포구청역점,서울특별시 영등포구 당산동3가 25-2 ,"서울특별시 영등포구 양산로 131-2, 1층 (당산동3가)",호프/통닭,영등포구,126.8977731,37.52394541
이도 여의도,서울특별시 영등포구 여의도동 34-7 농협재단빌딩 ,"서울특별시 영등포구 국제금융로8길 2, 농협재단빌딩 지하1층 B107호 (여의도동)",한식,영등포구,126.9301081,37.52199453
신길 홍어명가,서울특별시 영등포구 신길동 110-47 ,"서울특별시 영등포구 도신로 236, 1층 (신길동)",한식,영등포구,126.9174404,37.5122964
왔다갔다 황소곱창(영등포점),서울특별시 영등포구 도림동 265-4 인수빌딩 ,"서울특별시 영등포구 도영로 20, 인수빌딩 1층 (도림동)",한식,영등포구,126.8957118,37.50817361
화포식당,서울특별시 영등포구 여의도동 44-36 센터빌딩 ,"서울특별시 영등포구 여의대방로65길 6, 센터빌딩 2층 일부호 (여의도동)",한식,영등포구,126.930495,37.51916543
금별맥주 신길삼거리점,서울특별시 영등포구 신길동 99-7 ,"서울특별시 영등포구 영등포로 369, 1층 (신길동)",한식,영등포구,126.9193817,37.51432338
도시해장국 2호점,서울특별시 영등포구 여의도동 13-25 정우빌딩 ,"서울특별시 영등포구 은행로 29, 정우빌딩 지하1층 14~16호 (여의도동)",한식,영등포구,126.9218995,37.52906569
노군포차,서울특별시 영등포구 당산동1가 35 ,"서울특별시 영등포구 당산로10길 6-1, 1층 (당산동1가)",한식,영등포구,126.8964194,37.52170428
친신마라탕 영등포직영점,서울특별시 영등포구 영등포동 620-323 ,"서울특별시 영등포구 영신로9길 7, 1층 (영등포동)",중국식,영등포구,126.9081602,37.5127576
빵의시간,서울특별시 영등포구 여의도동 22 파크원 ,"서울특별시 영등포구 여의대로 108, 더현대서울 지하1층 (여의도동)",기타,영등포구,126.9282959,37.52605011
도라보울,서울특별시 영등포구 여의도동 45-1 SK증권빌딩 ,"서울특별시 영등포구 국제금융로8길 31, SK증권빌딩 지하1층 (여의도동)",일식,영등포구,126.9280062,37.51980532
우마담 문래,서울특별시 영등포구 문래동4가 32-48 ,"서울특별시 영등포구 도림로141라길 2-2, 1층 (문래동4가)",한식,영등포구,126.8915867,37.51395741
퍽퍽살이 싫어 내가 차린 치킨집,서울특별시 영등포구 영등포동 618-217 ,"서울특별시 영등포구 영신로19길 14-1, 1층 1호 (영등포동)",호프/통닭,영등포구,126.9061551,37.51413474
동서재 닭강정,서울특별시 영등포구 영등포동 618-217 ,"서울특별시 영등포구 영신로19길 14-1, 1층 2호 (영등포동)",호프/통닭,영등포구,126.9061551,37.51413474
리얼 새우짱 후라이드,서울특별시 영등포구 영등포동 618-217 ,"서울특별시 영등포구 영신로19길 14-1, 1층 4호 (영등포동)",호프/통닭,영등포구,126.9061551,37.51413474
애슐리퀸즈 신풍점,서울특별시 영등포구 신길동 4975 비스타동원,"서울특별시 영등포구 신풍로 28, 지하2층 B241호 (신길동, 비스타동원)",뷔페식,영등포구,126.90960294998,37.4998139228913
숯향 후라이드 치킨,서울특별시 영등포구 영등포동 618-217 ,"서울특별시 영등포구 영신로19길 14-1, 1층 5호 (영등포동)",호프/통닭,영등포구,126.9061551,37.51413474
돌담크랩 치킨,서울특별시 영등포구 영등포동 618-217 ,"서울특별시 영등포구 영신로19길 14-1, 1층 3호 (영등포동)",호프/통닭,영등포구,126.9061551,37.51413474
안골순대,서울특별시 영등포구 당산동3가 1-15 ,"서울특별시 영등포구 양산로 159, 1층 일부호 (당산동3가)",한식,영등포구,126.900728,37.52349919
카페로렌,서울특별시 영등포구 대림동 907-19 ,"서울특별시 영등포구 신길로15길 19, 1층 (대림동)","외국음식전문점(인도,태국등)",영등포구,126.9064214,37.49670338
이장네정식,서울특별시 영등포구 영등포동 618-257 ,"서울특별시 영등포구 영신로19길 32-2, 2층 (영등포동)",한식,영등포구,126.9045397,37.51356649
바우네 나주곰탕 선유도점,서울특별시 영등포구 양평동6가 4-2 ,"서울특별시 영등포구 양평로30길 14, 105호 (양평동6가)",한식,영등포구,126.8893699,37.54121883
가마로강정 신길점,서울특별시 영등포구 신길동 235-3 ,"서울특별시 영등포구 가마산로 501, 1층 (신길동)",기타,영등포구,126.9122098,37.50567044
썬파닭치킨 영등포점,서울특별시 영등포구 영등포동7가 61-3 ,"서울특별시 영등포구 국회대로44길 2-1, 1층 (영등포동7가)",기타,영등포구,126.903716,37.52553839
꿉삼,서울특별시 영등포구 도림동 182-3 ,"서울특별시 영등포구 도림로113길 8, 103호 (도림동)",한식,영등포구,126.8989637,37.50873107
윈바,서울특별시 영등포구 대림동 1079-41 ,"서울특별시 영등포구 디지털로 359-1, 2층 (대림동)",중국식,영등포구,126.9000144,37.48976123
정성한식,서울특별시 영등포구 영등포동5가 43-26 ,"서울특별시 영등포구 영중로20길 10-1, 1층 (영등포동5가)",한식,영등포구,126.9066118,37.52113967
모두의죽,서울특별시 영등포구 영등포동6가 25-6 ,"서울특별시 영등포구 양산로 188-1, 지하1층 (영등포동6가)",한식,영등포구,126.903936,37.52276022
사계녹돈,서울특별시 영등포구 도림동 250-20 브라보주상아파트 ,"서울특별시 영등포구 도신로 59, 101호 (도림동, 브라보주상아파트)",한식,영등포구,126.899239,37.50601988
온각찻집,서울특별시 영등포구 대림동 721-13 ,"서울특별시 영등포구 대림로27나길 14-1, 3층 (대림동)",기타,영등포구,126.8981843,37.49609577
지수사,서울특별시 영등포구 문래동3가 16-60 ,"서울특별시 영등포구 영신로 111-11, 1층 (문래동3가)",일식,영등포구,126.9013362,37.51765454
